CustomerID,ApplicationDate,CreditAmount,PersonType,ApprovalStatus,ProductType,City,PersonIncome,PersonAge,CompanyRevenue,CompanyAge,EconomicActivity,CreditScore,DefaultStatus
335244,2023-08-21,2346,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,434979,1,Others,674,NaN
58370,2023-01-10,15051,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,374600,9,Marketing,810,0
13113,2023-04-11,6584,PJ,APPROVED,CartaoCredito,null,NaN,NaN,216490,16,Marketing,566,0
388787,2023-03-23,4565,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,340132,14,HealthCare,390,NaN
144195,2023-09-26,848,PF,APPROVED,Emprestimo,Night City,27623,44,NaN,NaN,null,778,0
128394,2023-09-04,848,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,536672,39,Education,708,0
117027,2023-11-21,299,PF,DENIED,CartaoCredito,Smallville,6173,42,NaN,NaN,null,662,NaN
73159,2023-02-01,10056,PF,APPROVED,Emprestimo,Springfield,50427,36,NaN,NaN,null,582,0
386124,2023-06-03,4595,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,NaN,7,HealthCare,560,NaN
53737,2023-01-11,6156,PF,APPROVED,Emprestimo,Springfield,20838,44,NaN,NaN,null,856,0
354786,2023-03-21,104,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,5657,10,HealthCare,495,NaN
388324,2023-07-03,17518,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,1021481,3,Marketing,290,NaN
467760,2023-01-10,8932,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,141081,15,HealthCare,518,0
285930,2023-03-14,1193,PF,DENIED,Emprestimo,Smallville,49906,41,NaN,NaN,null,543,NaN
45581,2023-08-25,1003,PF,APPROVED,Emprestimo,Night City,6008,63,NaN,NaN,null,560,1
309589,2023-07-18,1013,PF,DENIED,CartaoCredito,Springfield,NaN,NaN,NaN,NaN,null,410,NaN
221209,2023-03-22,1814,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,394356,14,HealthCare,506,0
16664,2023-08-03,3720,PJ,DENIED,Emprestimo,null,NaN,NaN,227200,5,Education,207,NaN
15623,2023-10-22,2828,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,383367,10,Agriculture,645,NaN
49124,2023-01-03,1721,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,92704,4,Others,780,0
114630,2023-10-21,4732,PF,APPROVED,CartaoCredito,Night City,22526,62,NaN,NaN,null,724,0
121982,2023-09-12,751,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,154895,NaN,Education,279,NaN
264952,2023-05-04,1728,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,477588,7,Education,897,0
315632,2023-02-26,2281,PF,APPROVED,CartaoCredito,Springfield,55684,35,NaN,NaN,null,579,0
13913,2023-12-15,3045,PJ,DENIED,Emprestimo,Night City,NaN,NaN,19975,10,Agriculture,295,NaN
294255,2023-05-03,7690,PF,APPROVED,Emprestimo,Springfield,NaN,35,NaN,NaN,null,597,1
104249,2023-02-03,1114,PF,APPROVED,Emprestimo,Smallville,19812,45,NaN,NaN,null,591,0
375401,2023-02-05,3610,PF,APPROVED,CartaoCredito,Smallville,NaN,64,NaN,NaN,null,648,1
340727,2023-11-05,4488,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,223504,55,Marketing,763,0
367697,2023-08-08,238,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,120280,31,Education,825,0
285707,2023-10-21,4677,PF,APPROVED,Emprestimo,Smallville,52830,65,NaN,NaN,null,614,0
219950,2023-09-23,935,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,392047,14,HealthCare,643,0
115575,2023-07-15,336,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,849262,2,Education,742,0
235515,2023-12-21,14868,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,699621,2,Education,640,NaN
308945,2023-05-18,16853,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,1838180,2,HealthCare,211,NaN
145853,2023-07-20,8262,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,47748,6,Others,529,1
424375,2023-10-29,1816,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,42139,6,Agriculture,624,NaN
455764,2023-08-14,514,PF,APPROVED,Emprestimo,Springfield,43418,66,NaN,NaN,null,824,1
3408,2023-11-10,5764,PF,DENIED,CartaoCredito,Night City,21215,58,NaN,NaN,null,657,NaN
397834,2023-07-30,2900,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,261272,0,Education,683,0
422482,2023-09-14,651,PF,DENIED,Emprestimo,Night City,57645,31,NaN,NaN,null,645,NaN
83708,2023-01-17,3418,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,230286,1,Marketing,231,NaN
366027,2023-03-24,175,PF,DENIED,CartaoCredito,Springfield,1897,25,NaN,NaN,null,257,NaN
221572,2023-04-16,12002,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,736851,1,HealthCare,554,NaN
178390,2023-01-30,1497,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,124800,14,Marketing,597,1
145685,2023-03-26,5431,PF,APPROVED,Emprestimo,Night City,41175,43,NaN,NaN,null,816,1
81517,2023-02-06,1868,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,119706,7,Marketing,222,NaN
112887,2023-04-12,3671,PF,APPROVED,CartaoCredito,Smallville,27808,57,NaN,NaN,null,587,1
400291,2023-08-20,3956,PF,DENIED,CartaoCredito,Night City,62458,57,NaN,NaN,null,415,NaN
176473,2023-05-13,1022,PF,DENIED,Emprestimo,Springfield,75465,24,NaN,NaN,null,518,NaN
53588,2023-05-15,17464,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,15469,9,Agriculture,676,NaN
48626,2023-03-18,7461,PF,APPROVED,Emprestimo,Springfield,59240,56,NaN,NaN,null,760,0
199192,2023-04-08,14025,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,33380,5,Marketing,528,0
50708,2023-12-07,11261,PF,APPROVED,Emprestimo,Springfield,89696,41,NaN,NaN,null,782,1
188209,2023-08-24,4555,PF,DENIED,Emprestimo,Night City,47557,NaN,NaN,NaN,null,244,NaN
444332,2023-08-10,12747,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,765712,17,Agriculture,579,0
180332,2023-03-04,463,PF,APPROVED,Emprestimo,Springfield,32923,42,NaN,NaN,null,644,0
316527,2023-09-23,1091,PF,DENIED,CartaoCredito,null,13510,53,NaN,NaN,null,292,NaN
138686,2023-03-01,231,PF,APPROVED,Emprestimo,Smallville,28539,20,NaN,NaN,null,689,0
423168,2023-05-19,1968,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,30264,10,Education,855,0
22781,2023-12-27,2461,PF,DENIED,Emprestimo,Springfield,20727,48,NaN,NaN,null,593,NaN
382590,2023-08-21,1583,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,233664,3,Others,448,NaN
240871,2023-07-22,8823,PF,DENIED,CartaoCredito,Night City,NaN,27,NaN,NaN,null,697,NaN
281138,2023-09-07,2206,PF,DENIED,CartaoCredito,Smallville,5015,34,NaN,NaN,null,522,NaN
65445,2023-11-03,1649,PF,APPROVED,Emprestimo,Smallville,109767,70,NaN,NaN,null,624,0
483549,2023-10-10,3912,PF,APPROVED,Emprestimo,Springfield,10120,65,NaN,NaN,null,849,1
198462,2023-03-25,759,PF,APPROVED,CartaoCredito,Springfield,195786,69,NaN,NaN,null,555,0
41314,2023-01-12,8102,PF,DENIED,Emprestimo,Night City,223632,51,NaN,NaN,null,496,NaN
289429,2023-04-25,387,PF,APPROVED,CartaoCredito,Smallville,25907,26,NaN,NaN,null,591,0
153710,2023-04-08,21671,PF,DENIED,CartaoCredito,Smallville,220902,30,NaN,NaN,null,514,NaN
434847,2023-03-18,7397,PF,DENIED,CartaoCredito,Smallville,102154,18,NaN,NaN,null,377,NaN
