,ApplicationDate,CreditAmount,PersonType,ApprovalStatus,ProductType,City,Revenue,Age,CreditScore,Prob_DefaultStatus
0,366,2346,PJ,DENIED,CartaoCredito,Night City,434979.0,1.0,674,0.0
1,517,4565,PJ,DENIED,Emprestimo,Smallville,340132.0,14.0,390,0.0
2,445,4595,PJ,DENIED,Emprestimo,Smallville,90583.0,7.0,560,0.0
3,519,104,PJ,DENIED,Emprestimo,Smallville,5657.0,10.0,495,0.0
4,415,17518,PJ,DENIED,CartaoCredito,Smallville,1021481.0,3.0,290,0.0
5,304,2828,PJ,DENIED,Emprestimo,Springfield,383367.0,10.0,645,0.0
6,344,751,PJ,DENIED,Emprestimo,Springfield,154895.0,22.0,279,0.0
7,250,3045,PJ,DENIED,Emprestimo,Night City,19975.0,10.0,295,0.0
8,244,14868,PJ,DENIED,CartaoCredito,Night City,699621.0,2.0,640,0.0
9,461,16853,PJ,DENIED,CartaoCredito,Smallville,1838180.0,2.0,211,0.0
10,297,1816,PJ,DENIED,CartaoCredito,Night City,42139.0,6.0,624,0.0
11,582,3418,PJ,DENIED,Emprestimo,Springfield,230286.0,1.0,231,0.0
12,493,12002,PJ,DENIED,Emprestimo,Springfield,736851.0,1.0,554,0.0
13,562,1868,PJ,DENIED,CartaoCredito,Smallville,119706.0,7.0,222,0.0
14,464,17464,PJ,DENIED,CartaoCredito,Night City,15469.0,9.0,676,0.0
15,366,1583,PJ,DENIED,CartaoCredito,Night City,233664.0,3.0,448,0.0
16,255,1108,PJ,DENIED,Emprestimo,Smallville,2765026.0,8.0,530,0.0
17,431,385,PJ,DENIED,CartaoCredito,Springfield,630138.0,6.0,609,0.0
18,559,637,PJ,DENIED,Emprestimo,Night City,10158.0,1.0,348,0.0
19,445,4119,PJ,DENIED,Emprestimo,Night City,51655.0,8.0,571,0.0
20,460,3404,PJ,DENIED,Emprestimo,Smallville,446347.0,1.0,591,0.0
21,350,1887,PJ,DENIED,CartaoCredito,Smallville,692347.0,15.0,676,0.0
22,403,3552,PJ,DENIED,CartaoCredito,Springfield,90583.0,1.0,539,0.0
23,416,13275,PJ,DENIED,Emprestimo,Springfield,265879.0,18.0,657,0.0
24,533,8254,PJ,DENIED,CartaoCredito,Springfield,998580.0,1.0,547,0.0
25,490,8140,PJ,DENIED,CartaoCredito,Night City,44014.0,2.0,613,0.0
26,377,11154,PJ,DENIED,CartaoCredito,Smallville,653107.0,22.0,677,0.0
27,315,1914,PJ,DENIED,CartaoCredito,Night City,89575.0,4.0,555,0.0
28,405,583,PJ,DENIED,CartaoCredito,Night City,550911.0,17.0,249,0.0
29,481,2785,PJ,DENIED,Emprestimo,Smallville,367695.0,5.0,422,0.0
30,398,1450,PJ,DENIED,CartaoCredito,Night City,184932.0,3.0,358,0.0
31,502,3438,PJ,DENIED,Emprestimo,Night City,1401897.0,14.0,435,0.0
32,475,5576,PJ,DENIED,CartaoCredito,Smallville,707080.0,6.0,688,0.0
33,518,6514,PJ,DENIED,CartaoCredito,Springfield,499634.0,1.0,266,0.0
34,573,2293,PJ,DENIED,CartaoCredito,Smallville,1174050.0,9.0,564,0.0
35,515,5019,PJ,DENIED,CartaoCredito,Springfield,90583.0,0.0,513,0.0
38,442,2445,PJ,DENIED,CartaoCredito,Springfield,85569.0,13.0,399,0.0
39,429,740,PJ,DENIED,CartaoCredito,Springfield,600499.0,4.0,237,0.0
40,529,3771,PJ,DENIED,Emprestimo,Smallville,1238584.0,4.0,328,0.0
41,445,489,PJ,DENIED,Emprestimo,Springfield,1225871.0,2.0,379,0.0
42,437,2070,PJ,DENIED,CartaoCredito,Springfield,334414.0,10.0,203,0.0
43,294,7568,PJ,DENIED,CartaoCredito,Night City,947789.0,2.0,619,0.0
44,577,5446,PJ,DENIED,Emprestimo,Smallville,37918.0,2.0,525,0.0
45,240,877,PJ,DENIED,CartaoCredito,Smallville,330387.0,47.0,533,0.0
46,502,3978,PJ,DENIED,CartaoCredito,Night City,844609.0,4.0,574,0.0
47,313,5887,PJ,DENIED,CartaoCredito,Night City,155686.0,1.0,487,0.0
48,396,1968,PJ,DENIED,CartaoCredito,Springfield,571259.0,10.0,629,0.0
49,542,5244,PJ,DENIED,Emprestimo,Smallville,90583.0,41.0,458,0.0
50,249,4987,PJ,DENIED,CartaoCredito,Night City,865973.0,10.0,661,0.0
51,274,1648,PJ,DENIED,Emprestimo,Springfield,1355823.0,22.0,611,0.0
52,446,14105,PJ,DENIED,CartaoCredito,Springfield,716243.0,16.0,373,0.0
53,386,15388,PJ,DENIED,Emprestimo,Springfield,413733.0,22.0,635,0.0
54,258,2311,PJ,DENIED,Emprestimo,Smallville,2279.0,4.0,319,0.0
55,235,929,PJ,DENIED,CartaoCredito,Smallville,538641.0,2.0,257,0.0
56,596,1738,PJ,DENIED,Emprestimo,Night City,90583.0,1.0,230,0.0
58,421,4317,PJ,DENIED,CartaoCredito,Smallville,163281.0,2.0,697,0.0
59,498,4468,PJ,DENIED,CartaoCredito,Smallville,485607.0,4.0,677,0.0
60,597,155,PJ,DENIED,CartaoCredito,Night City,3280972.0,2.0,300,0.0
61,318,190,PJ,DENIED,CartaoCredito,Night City,362235.0,13.0,405,0.0
62,367,8647,PJ,DENIED,Emprestimo,Night City,191807.0,4.0,557,0.0
63,329,679,PJ,DENIED,CartaoCredito,Springfield,109194.0,5.0,220,0.0
64,595,1216,PJ,DENIED,CartaoCredito,Night City,73463.0,7.0,314,0.0
66,400,3790,PJ,DENIED,Emprestimo,Springfield,666041.0,4.0,247,0.0
67,386,5073,PJ,DENIED,Emprestimo,Smallville,312101.0,25.0,540,0.0
68,285,1579,PJ,DENIED,CartaoCredito,Springfield,563150.0,1.0,626,0.0
69,508,128,PJ,DENIED,CartaoCredito,Springfield,1288178.0,0.0,406,0.0
70,501,7091,PJ,DENIED,CartaoCredito,Smallville,1129205.0,12.0,280,0.0
71,309,3383,PJ,DENIED,Emprestimo,Smallville,1800533.0,3.0,508,0.0
72,365,2347,PJ,DENIED,CartaoCredito,Smallville,370124.0,6.0,670,0.0
73,257,5375,PJ,DENIED,Emprestimo,Springfield,1068952.0,15.0,524,0.0
74,557,889,PJ,DENIED,CartaoCredito,Night City,90583.0,5.0,638,0.0
75,333,2457,PJ,DENIED,CartaoCredito,Smallville,514834.0,2.0,480,0.0
76,354,5744,PJ,DENIED,Emprestimo,Smallville,108284.0,1.0,491,0.0
77,486,4957,PJ,DENIED,CartaoCredito,Night City,5593.0,22.0,332,0.0
78,552,1657,PJ,DENIED,CartaoCredito,Night City,52930.0,14.0,480,0.0
79,429,7023,PJ,DENIED,CartaoCredito,Smallville,195444.0,7.0,407,0.0
80,354,15040,PJ,DENIED,Emprestimo,Springfield,1006881.0,18.0,473,0.0
81,345,3410,PJ,DENIED,Emprestimo,Night City,169077.0,5.0,255,0.0
82,410,439,PJ,DENIED,CartaoCredito,Night City,867806.0,23.0,282,0.0
83,508,378,PJ,DENIED,CartaoCredito,Night City,650355.0,13.0,677,0.0
84,290,8626,PJ,DENIED,Emprestimo,Night City,851103.0,4.0,652,0.0
85,307,424,PJ,DENIED,Emprestimo,Smallville,75910.0,30.0,400,0.0
86,366,3393,PJ,DENIED,Emprestimo,Springfield,237962.0,3.0,499,0.0
87,320,57,PJ,DENIED,CartaoCredito,Springfield,27112.0,2.0,205,0.0
88,409,3162,PJ,DENIED,CartaoCredito,Springfield,157625.0,16.0,475,0.0
89,450,61,PJ,DENIED,Emprestimo,Smallville,5317.0,0.0,538,0.0
90,447,221,PJ,DENIED,CartaoCredito,Smallville,121922.0,15.0,396,0.0
91,460,4963,PJ,DENIED,Emprestimo,Springfield,393817.0,18.0,252,0.0
92,379,11048,PJ,DENIED,CartaoCredito,Springfield,372974.0,16.0,568,0.0
93,518,3041,PJ,DENIED,Emprestimo,Springfield,511962.0,1.0,618,0.0
94,451,4381,PJ,DENIED,CartaoCredito,Smallville,1082562.0,16.0,205,0.0
96,365,887,PJ,DENIED,Emprestimo,Smallville,66113.0,19.0,343,0.0
97,430,8645,PJ,DENIED,Emprestimo,Springfield,469973.0,0.0,640,0.0
98,402,815,PJ,DENIED,CartaoCredito,Night City,410230.0,8.0,433,0.0
99,235,4509,PJ,DENIED,CartaoCredito,Night City,566514.0,7.0,486,0.0
100,471,2397,PJ,DENIED,CartaoCredito,Springfield,1230744.0,11.0,632,0.0
102,253,2679,PJ,DENIED,CartaoCredito,Night City,6164.0,5.0,693,0.0
104,537,9474,PJ,DENIED,CartaoCredito,Springfield,57713.0,2.0,536,0.0
105,454,5567,PJ,DENIED,Emprestimo,Springfield,1218851.0,16.0,669,0.0
106,571,7399,PJ,DENIED,Emprestimo,Smallville,281484.0,7.0,218,0.0
107,289,10464,PJ,DENIED,CartaoCredito,Smallville,458500.0,2.0,636,0.0
108,554,719,PJ,DENIED,CartaoCredito,Springfield,255116.0,4.0,407,0.0
109,314,7035,PJ,DENIED,Emprestimo,Springfield,1525712.0,18.0,485,0.0
110,472,4842,PJ,DENIED,CartaoCredito,Night City,424004.0,20.0,578,0.0
111,247,4865,PJ,DENIED,CartaoCredito,Springfield,90583.0,3.0,594,0.0
112,403,795,PJ,DENIED,Emprestimo,Springfield,90583.0,22.0,604,0.0
113,332,1494,PJ,DENIED,CartaoCredito,Smallville,269497.0,22.0,453,0.0
114,278,5017,PJ,DENIED,Emprestimo,Night City,417728.0,3.0,350,0.0
115,521,1004,PJ,DENIED,Emprestimo,Night City,452817.0,15.0,556,0.0
117,595,1068,PJ,DENIED,CartaoCredito,Smallville,265380.0,6.0,317,0.0
118,336,1633,PJ,DENIED,Emprestimo,Smallville,16397.0,2.0,504,0.0
119,565,3500,PJ,DENIED,Emprestimo,Night City,153425.0,6.0,232,0.0
120,518,5862,PJ,DENIED,Emprestimo,Springfield,382350.0,19.0,267,0.0
121,343,8205,PJ,DENIED,Emprestimo,Night City,210792.0,9.0,262,0.0
122,321,2302,PJ,DENIED,Emprestimo,Springfield,215906.0,11.0,242,0.0
123,531,3104,PJ,DENIED,Emprestimo,Night City,387456.0,10.0,244,0.0
124,335,1455,PJ,DENIED,CartaoCredito,Springfield,927564.0,12.0,583,0.0
125,562,3798,PJ,DENIED,Emprestimo,Springfield,705162.0,8.0,634,0.0
126,428,7784,PJ,DENIED,CartaoCredito,Night City,90583.0,19.0,550,0.0
127,256,4420,PJ,DENIED,Emprestimo,Night City,90583.0,6.0,614,0.0
128,299,2825,PJ,DENIED,Emprestimo,Springfield,864077.0,4.0,622,0.0
129,572,1669,PJ,DENIED,CartaoCredito,Smallville,1895241.0,15.0,510,0.0
130,555,1354,PJ,DENIED,Emprestimo,Smallville,49537.0,22.0,685,0.0
131,320,537,PJ,DENIED,CartaoCredito,Smallville,155449.0,3.0,459,0.0
132,408,1032,PJ,DENIED,Emprestimo,Springfield,174034.0,2.0,432,0.0
133,435,1678,PJ,DENIED,Emprestimo,Springfield,641312.0,20.0,363,0.0
134,285,11354,PJ,DENIED,CartaoCredito,Night City,2353335.0,8.0,258,0.0
135,372,2642,PJ,DENIED,CartaoCredito,Night City,282858.0,12.0,338,0.0
136,254,2536,PJ,DENIED,CartaoCredito,Springfield,694075.0,5.0,518,0.0
137,358,8493,PJ,DENIED,CartaoCredito,Smallville,814906.0,2.0,203,0.0
138,541,1491,PJ,DENIED,Emprestimo,Springfield,338482.0,9.0,694,0.0
139,571,5523,PJ,DENIED,Emprestimo,Night City,176518.0,2.0,465,0.0
140,435,4068,PJ,DENIED,Emprestimo,Springfield,246562.0,6.0,508,0.0
141,382,4239,PJ,DENIED,CartaoCredito,Night City,49251.0,2.0,447,0.0
142,348,3542,PJ,DENIED,Emprestimo,Smallville,206363.0,19.0,571,0.0
143,312,610,PJ,DENIED,Emprestimo,Night City,2918.0,2.0,352,0.0
144,371,4716,PJ,DENIED,Emprestimo,Springfield,220103.0,4.0,449,0.0
145,444,838,PJ,DENIED,CartaoCredito,Smallville,1060860.0,2.0,514,0.0
146,298,2052,PJ,DENIED,CartaoCredito,Night City,2191956.0,4.0,235,0.0
147,493,1469,PJ,DENIED,CartaoCredito,Night City,334121.0,2.0,408,0.0
148,553,5721,PJ,DENIED,CartaoCredito,Night City,521350.0,9.0,584,0.0
149,344,4527,PJ,DENIED,Emprestimo,Smallville,101114.0,16.0,416,0.0
150,419,2145,PJ,DENIED,CartaoCredito,Night City,48749.0,0.0,693,0.0
151,584,8878,PJ,DENIED,Emprestimo,Smallville,106572.0,12.0,632,0.0
153,584,1126,PJ,DENIED,Emprestimo,Springfield,89656.0,22.0,293,0.0
154,323,894,PJ,DENIED,Emprestimo,Smallville,2037257.0,8.0,309,0.0
155,427,897,PJ,DENIED,CartaoCredito,Smallville,564542.0,16.0,689,0.0
156,472,2891,PJ,DENIED,Emprestimo,Springfield,809428.0,3.0,324,0.0
157,477,2366,PJ,DENIED,Emprestimo,Night City,1178677.0,19.0,430,0.0
158,355,3106,PJ,DENIED,CartaoCredito,Springfield,80169.0,12.0,317,0.0
159,494,1321,PJ,DENIED,CartaoCredito,Springfield,14616.0,13.0,450,0.0
160,254,11492,PJ,DENIED,CartaoCredito,Springfield,119699.0,13.0,348,0.0
161,481,622,PJ,DENIED,CartaoCredito,Night City,5686.0,14.0,652,0.0
162,245,14053,PJ,DENIED,CartaoCredito,Springfield,342254.0,1.0,410,0.0
163,411,2039,PJ,DENIED,Emprestimo,Springfield,382462.0,13.0,640,0.0
164,359,7900,PJ,DENIED,CartaoCredito,Smallville,1539386.0,1.0,359,0.0
165,401,4839,PJ,DENIED,Emprestimo,Springfield,183913.0,2.0,464,0.0
166,530,11217,PJ,DENIED,CartaoCredito,Smallville,90583.0,50.0,404,0.0
167,244,8609,PJ,DENIED,CartaoCredito,Smallville,78447.0,1.0,350,0.0
168,511,9369,PJ,DENIED,Emprestimo,Springfield,1952911.0,7.0,672,0.0
169,266,6405,PJ,DENIED,Emprestimo,Smallville,264072.0,2.0,550,0.0
170,296,5920,PJ,DENIED,CartaoCredito,Springfield,626402.0,7.0,501,0.0
171,338,1450,PJ,DENIED,CartaoCredito,Smallville,326596.0,2.0,658,0.0
172,413,2121,PJ,DENIED,Emprestimo,Smallville,19881.0,0.0,366,0.0
173,242,4378,PJ,DENIED,Emprestimo,Smallville,1058865.0,6.0,443,0.0
174,447,13450,PJ,DENIED,Emprestimo,Smallville,419685.0,1.0,556,0.0
175,402,13618,PJ,DENIED,CartaoCredito,Night City,1656890.0,1.0,337,0.0
176,401,601,PJ,DENIED,CartaoCredito,Springfield,84251.0,15.0,377,0.0
177,433,20946,PJ,DENIED,CartaoCredito,Smallville,37428.0,5.0,637,0.0
178,241,3854,PJ,DENIED,Emprestimo,Night City,261890.0,29.0,361,0.0
179,246,5002,PJ,DENIED,Emprestimo,Smallville,1743523.0,2.0,668,0.0
